seed,condition,zorp_acc,zorp_nll,zorp_brier,zorp_entropy,within_acc,cross_acc,mira_acc,accepted_examples,accept_rate,first_pass_rate,unchecked_pseudo_error,adapter_norm,adapt_wall_seconds
41292,validated_dream,0.13541666666666666,1.5615421533584595,0.8305114510475603,1.3157010078430176,0.09375,0.15625,0.22916666666666666,34,0.7083333333333334,0.25,,24.24689469044748,98.46767902374268
41292,validated_hard_anchor,0.25,1.758428692817688,0.8948864526057196,1.1162893772125244,0.1875,0.28125,0.2604166666666667,29,0.6041666666666666,0.16666666666666666,,24.391690919981755,96.93234753608704
41389,no_update,0.23958333333333334,1.4552593231201172,0.7868919375371131,1.3340572118759155,0.21875,0.25,0.23958333333333334,0,,,,23.996683854119826,0.024216651916503906
41389,replay,0.21875,1.5055322647094727,0.8171311476691355,1.2893130779266357,0.21875,0.21875,0.21875,48,,,,24.212215906742394,105.34506487846375
41389,unchecked_hard,0.23958333333333334,1.436131477355957,0.7778823445608009,1.3479270935058594,0.25,0.234375,0.25,48,,,0.7291666666666666,24.027955168769566,103.45461559295654
41389,validated_uniform,0.23958333333333334,1.3958988189697266,0.7546759514783838,1.3834117650985718,0.34375,0.1875,0.20833333333333334,33,0.6875,0.3125,,24.179951591447647,107.29534220695496
41389,validated_hard,0.21875,1.5019029378890991,0.8077899739070827,1.3122543096542358,0.25,0.203125,0.25,33,0.6875,0.20833333333333334,,24.171931123101988,99.68558406829834
41389,validated_dream,0.20833333333333334,1.6642593145370483,0.8707812405666919,1.2137227058410645,0.25,0.1875,0.19791666666666666,30,0.625,0.25,,24.18199911909788,107.69684052467346
41389,validated_hard_anchor,0.2604166666666667,1.446615219116211,0.777241443280665,1.335204005241394,0.25,0.265625,0.21875,32,0.6666666666666666,0.22916666666666666,,24.25855173857754,111.7092764377594
41486,no_update,0.17708333333333334,1.4592618942260742,0.785948827062041,1.3560911417007446,0.09375,0.21875,0.28125,0,,,,24.15522748729946,0.02124786376953125
41486,replay,0.17708333333333334,1.6776437759399414,0.9027178257992744,1.2200679779052734,0.09375,0.21875,0.2708333333333333,48,,,,24.370216471577393,102.60724472999573
41486,unchecked_hard,0.15625,1.451759934425354,0.7821013885446773,1.362937331199646,0.0625,0.203125,0.2708333333333333,48,,,0.75,24.213860271139016,109.23974680900574
41486,validated_uniform,0.2604166666666667,1.5352903604507446,0.8228626852172668,1.2769193649291992,0.25,0.265625,0.2604166666666667,34,0.7083333333333334,0.3541666666666667,,24.406772337787963,100.54051351547241
41486,validated_hard,0.13541666666666666,1.5402555465698242,0.8245463576182668,1.3232485055923462,0.0625,0.171875,0.3333333333333333,33,0.6875,0.4375,,24.361776748328904,99.25421452522278
41486,validated_dream,0.13541666666666666,1.6236721277236938,0.8694497218995961,1.2833898067474365,0.09375,0.15625,0.2708333333333333,34,0.7083333333333334,0.2708333333333333,,24.43645021648449,99.74328756332397
41486,validated_hard_anchor,0.17708333333333334,1.7453559637069702,0.9233910294929162,1.1693180799484253,0.09375,0.21875,0.2916666666666667,30,0.625,0.1875,,24.491735189674554,105.94103932380676
41583,no_update,0.19791666666666666,1.4376860857009888,0.7753941254705374,1.3640341758728027,0.09375,0.25,0.25,0,,,,23.99175162420763,0.03863644599914551
41583,replay,0.3645833333333333,1.4392318725585938,0.8051549467149783,1.0545202493667603,0.21875,0.4375,0.19791666666666666,48,,,,24.51752427442109,91.45381426811218
41583,unchecked_hard,0.20833333333333334,1.488627552986145,0.7924165521604083,1.3396553993225098,0.15625,0.234375,0.20833333333333334,48,,,0.7291666666666666,24.10609298873173,93.4789571762085
41583,validated_uniform,0.3333333333333333,1.355137825012207,0.7433652183367047,1.2877792119979858,0.3125,0.34375,0.17708333333333334,30,0.625,0.3125,,24.41774780893275,81.88824152946472
41583,validated_hard,0.3541666666666667,1.2735530138015747,0.7008724475809894,1.3330591917037964,0.375,0.34375,0.14583333333333334,32,0.6666666666666666,0.3333333333333333,,24.385754508422156,77.19652366638184
41583,validated_dream,0.3854166666666667,1.3469990491867065,0.7360329580917379,1.308810830116272,0.4375,0.359375,0.15625,33,0.6875,0.2708333333333333,,24.34935233221517,74.30926418304443
41583,validated_hard_anchor,0.3125,1.3958138227462769,0.7533846591293937,1.346298098564148,0.375,0.28125,0.2916666666666667,30,0.625,0.22916666666666666,,24.252973663980647,84.00273442268372
41680,no_update,0.17708333333333334,1.4425777196884155,0.7789472484739686,1.3652082681655884,0.125,0.203125,0.23958333333333334,0,,,,24.135759517461647,0.015672922134399414
41680,replay,0.20833333333333334,1.5051088333129883,0.8080888437136183,1.337518572807312,0.09375,0.265625,0.17708333333333334,48,,,,24.268183100449306,72.99098086357117
41680,unchecked_hard,0.17708333333333334,1.6285524368286133,0.8581810818244274,1.265944004058838,0.125,0.203125,0.22916666666666666,48,,,0.6875,24.247173316712505,74.08864736557007
41680,validated_uniform,0.15625,1.5921016931533813,0.8481822472662618,1.286863923072815,0.125,0.171875,0.23958333333333334,34,0.7083333333333334,0.20833333333333334,,24.309584726949904,70.91091966629028
41680,validated_hard,0.3020833333333333,1.4954453706741333,0.7879897982068984,1.3219938278198242,0.40625,0.25,0.2708333333333333,30,0.625,0.20833333333333334,,24.263037350439895,77.73482394218445
41680,validated_dream,0.15625,1.7052861452102661,0.8610355741953603,1.2545613050460815,0.21875,0.125,0.2708333333333333,32,0.6666666666666666,0.22916666666666666,,24.35647582543231,77.01060748100281
41680,validated_hard_anchor,0.17708333333333334,1.3992241621017456,0.7571855568713358,1.3776212930679321,0.125,0.203125,0.23958333333333334,33,0.6875,0.3125,,24.248751212209672,87.78021597862244
41777,no_update,0.25,1.3934893608093262,0.753796140696038,1.3776483535766602,0.21875,0.265625,0.22916666666666666,0,,,,24.01968179220117,0.00775146484375
41777,replay,0.25,1.4721746444702148,0.7995005210847151,1.2939459085464478,0.21875,0.265625,0.23958333333333334,48,,,,24.141357875685976,80.52826881408691
41777,unchecked_hard,0.1875,1.4686965942382812,0.7896008394431474,1.3333383798599243,0.125,0.21875,0.21875,48,,,0.8333333333333334,24.156391568481546,87.94671702384949
41777,validated_uniform,0.20833333333333334,1.5072593688964844,0.8126943363228349,1.2688642740249634,0.15625,0.234375,0.22916666666666666,35,0.7291666666666666,0.2916666666666667,,24.27487169446241,80.33959913253784
41777,validated_hard,0.25,1.7785228490829468,0.9298834208012332,1.0515190362930298,0.28125,0.234375,0.23958333333333334,32,0.6666666666666666,0.2708333333333333,,24.363090729415756,83.38315939903259
41777,validated_dream,0.20833333333333334,1.4326034784317017,0.7755522541458633,1.3566056489944458,0.1875,0.21875,0.22916666666666666,30,0.625,0.3333333333333333,,24.160073026584694,79.49856758117676
41777,validated_hard_anchor,0.25,1.4677859544754028,0.7871491923404609,1.3103471994400024,0.28125,0.234375,0.22916666666666666,31,0.6458333333333334,0.16666666666666666,,24.327753423318953,81.50132942199707
41874,no_update,0.25,1.3889909982681274,0.7527106543030091,1.3686107397079468,0.15625,0.296875,0.1875,0,,,,23.946955619269986,0.03149676322937012
41874,replay,0.4479166666666667,1.18112051486969,0.7015726709024204,0.9883113503456116,0.40625,0.46875,0.22916666666666666,48,,,,24.506362288359945,82.0774438381195
41874,unchecked_hard,0.3020833333333333,1.4612427949905396,0.8063112545802994,1.2109302282333374,0.25,0.328125,0.23958333333333334,48,,,0.8125,24.17422435828076,82.79660892486572
41874,validated_uniform,0.40625,1.5226391553878784,0.8087664068146387,0.7347678542137146,0.34375,0.4375,0.23958333333333334,34,0.7083333333333334,0.3125,,24.60090473101068,80.52703046798706
41874,validated_hard,0.3645833333333333,1.1820982694625854,0.6663976652914984,1.1717619895935059,0.40625,0.34375,0.20833333333333334,30,0.625,0.3125,,24.369929934481405,82.93670630455017
41874,validated_dream,0.4583333333333333,1.47817862033844,0.7711676259377972,0.8432838916778564,0.34375,0.515625,0.2604166666666667,31,0.6458333333333334,0.20833333333333334,,24.49834009048053,78.62492036819458
41874,validated_hard_anchor,0.3645833333333333,1.6371797323226929,0.8238138397792766,0.9114204049110413,0.375,0.359375,0.17708333333333334,29,0.6041666666666666,0.2916666666666667,,24.429850317140563,83.6230878829956
41971,no_update,0.20833333333333334,1.6118535995483398,0.864478888085111,1.221284031867981,0.09375,0.265625,0.2916666666666667,0,,,,23.948486566142538,0.022509336471557617
41971,replay,0.20833333333333334,1.6332464218139648,0.8655785485416677,1.215891718864441,0.09375,0.265625,0.22916666666666666,48,,,,24.05399230909624,79.5596718788147
41971,unchecked_hard,0.20833333333333334,1.7378970384597778,0.9187449873061103,1.1177622079849243,0.125,0.25,0.3020833333333333,48,,,0.8125,24.19615392854664,85.51585865020752
41971,validated_uniform,0.2604166666666667,1.4210125207901,0.7667764965195903,1.365002989768982,0.3125,0.234375,0.2604166666666667,27,0.5625,0.22916666666666666,,24.116374961162386,79.30609726905823
41971,validated_hard,0.20833333333333334,1.5375438928604126,0.8120582845157354,1.3029853105545044,0.1875,0.21875,0.2708333333333333,31,0.6458333333333334,0.3541666666666667,,24.091365869441216,81.47620344161987
41971,validated_dream,0.17708333333333334,1.6963950395584106,0.9156534531208113,1.1626473665237427,0.1875,0.171875,0.4270833333333333,30,0.625,0.2916666666666667,,24.25436091148558,81.2287209033966
41971,validated_hard_anchor,0.2708333333333333,1.964429259300232,0.9509323470746652,0.9894784092903137,0.34375,0.234375,0.3333333333333333,35,0.7291666666666666,0.25,,24.251850329163048,99.580002784729
42068,no_update,0.21875,1.410104751586914,0.7616409258089601,1.3707102537155151,0.25,0.203125,0.2604166666666667,0,,,,23.982516826336354,0.016355514526367188
42068,replay,0.1875,1.4909496307373047,0.8048363127878639,1.3073902130126953,0.1875,0.1875,0.2604166666666667,48,,,,24.252196881762853,78.74471688270569
42068,unchecked_hard,0.28125,1.4096174240112305,0.7593086126917692,1.3622030019760132,0.34375,0.25,0.34375,48,,,0.75,24.10172918235402,81.5012366771698
42068,validated_uniform,0.25,1.4405921697616577,0.7744320231548318,1.350948691368103,0.3125,0.21875,0.3125,35,0.7291666666666666,0.25,,24.125626795884777,78.98977422714233
42068,validated_hard,0.25,1.4923648834228516,0.7987176332279525,1.2979803085327148,0.25,0.25,0.34375,32,0.6666666666666666,0.2708333333333333,,24.162250532127707,87.2257068157196
42068,validated_dream,0.23958333333333334,1.6023451089859009,0.8286584327078624,1.2219849824905396,0.34375,0.1875,0.3645833333333333,32,0.6666666666666666,0.25,,24.209830338737987,78.19947600364685
42068,validated_hard_anchor,0.16666666666666666,1.4114257097244263,0.7644093638389756,1.3720136880874634,0.125,0.1875,0.23958333333333334,36,0.75,0.1875,,24.128100985975312,82.24887990951538
