seed,experiment,treatment,control,diff
23425,E6_clone_divergence,0.036081609887687015,0.0,0.036081609887687015
23425,E7_observation_x_thought,0.20179372197309417,0.06854838709677419,0.13324533487631998
23425,E8_dream_recombination,1.0,0.0,1.0
23425,E9_lora_validated_internalization,0.9639999866485596,0.7260000109672546,0.23799997568130493
23425,E10_validated_vs_unvalidated,0.918571412563324,0.6485714316368103,0.26999998092651367
23425,E11_verified_sharpening,0.9624999761581421,0.6537500023841858,0.3087499737739563
23425,E12_anchor_preservation,0.8679999709129333,0.7839999794960022,0.08399999141693115
23478,E1_recall_competition,0.3004928970958425,0.034467189350279676,0.2660257077455628
23478,E2_associative_chain,0.6636363636363637,0.045454545454545456,0.6181818181818183
23478,E3_endogenous_transfer,0.20833333333333334,0.0,0.20833333333333334
23478,E4_goal_directed,0.2222222222222222,0.03333333333333333,0.18888888888888888
23478,E5_recursive_strengthening,0.9947227264354482,0.1241839652779875,0.8705387611574608
23478,E6_clone_divergence,0.0343142842004431,0.0,0.0343142842004431
23478,E7_observation_x_thought,0.22705314009661837,0.034482758620689655,0.1925703814759287
23478,E8_dream_recombination,1.0,0.0,1.0
23478,E9_lora_validated_internalization,0.9539999961853027,0.6740000247955322,0.2799999713897705
23478,E10_validated_vs_unvalidated,0.9514285922050476,0.7257142663002014,0.2257143259048462
23478,E11_verified_sharpening,0.9862499833106995,0.9200000166893005,0.06624996662139893
23478,E12_anchor_preservation,0.9279999732971191,0.8880000114440918,0.039999961853027344
23531,E1_recall_competition,0.3064415336066665,0.047293992146268254,0.2591475414603982
23531,E2_associative_chain,0.6545454545454545,0.04090909090909091,0.6136363636363636
23531,E3_endogenous_transfer,0.2916666666666667,0.0,0.2916666666666667
23531,E4_goal_directed,0.24444444444444444,0.06666666666666667,0.17777777777777776
23531,E5_recursive_strengthening,0.9948033260963655,0.12587652505438213,0.8689268010419833
23531,E6_clone_divergence,0.03662625766375844,0.0,0.03662625766375844
23531,E7_observation_x_thought,0.23529411764705882,0.01809954751131222,0.2171945701357466
23531,E8_dream_recombination,1.0,0.0,1.0
23531,E9_lora_validated_internalization,0.949999988079071,0.6840000152587891,0.265999972820282
23531,E10_validated_vs_unvalidated,0.9642857313156128,0.5771428346633911,0.3871428966522217
23531,E11_verified_sharpening,0.9412500262260437,0.6512500047683716,0.2900000214576721
23531,E12_anchor_preservation,0.6800000071525574,0.5299999713897705,0.15000003576278687
23584,E1_recall_competition,0.3541840657488078,0.05295685078215151,0.3012272149666563
23584,E2_associative_chain,0.6545454545454545,0.02727272727272727,0.6272727272727273
23584,E3_endogenous_transfer,0.20833333333333334,0.0,0.20833333333333334
23584,E4_goal_directed,0.2111111111111111,0.05,0.1611111111111111
23584,E5_recursive_strengthening,0.9947308889414324,0.1243533126852674,0.870377576256165
23584,E6_clone_divergence,0.037605924366125004,0.0,0.037605924366125004
23584,E7_observation_x_thought,0.25925925925925924,0.03669724770642202,0.22256201155283722
23584,E8_dream_recombination,1.0,0.0,1.0
23584,E9_lora_validated_internalization,0.984000027179718,0.7919999957084656,0.19200003147125244
23584,E10_validated_vs_unvalidated,0.949999988079071,0.8057143092155457,0.1442856788635254
23584,E11_verified_sharpening,0.9837499856948853,0.8812500238418579,0.10249996185302734
23584,E12_anchor_preservation,0.921999990940094,0.8240000009536743,0.09799998998641968
23637,E1_recall_competition,0.40799240861456526,0.07543670599374105,0.33255570262082423
23637,E2_associative_chain,0.6227272727272727,0.02727272727272727,0.5954545454545455
23637,E3_endogenous_transfer,0.31666666666666665,0.0,0.31666666666666665
23637,E4_goal_directed,0.28888888888888886,0.06111111111111111,0.22777777777777775
23637,E5_recursive_strengthening,0.9945969627502961,0.121631513642848,0.8729654491074481
23637,E6_clone_divergence,0.03552637710657178,0.0,0.03552637710657178
23637,E7_observation_x_thought,0.2420091324200913,0.09387755102040816,0.14813158139968313
23637,E8_dream_recombination,1.0,0.0,1.0
23637,E9_lora_validated_internalization,0.9679999947547913,0.8100000023841858,0.15799999237060547
23637,E10_validated_vs_unvalidated,0.868571400642395,0.6485714316368103,0.21999996900558472
23637,E11_verified_sharpening,0.9787499904632568,0.71875,0.25999999046325684
23637,E12_anchor_preservation,0.984000027179718,0.9779999852180481,0.006000041961669922
23690,E1_recall_competition,0.32784829059836806,0.06474043807348244,0.2631078525248856
23690,E2_associative_chain,0.6636363636363637,0.045454545454545456,0.6181818181818183
23690,E3_endogenous_transfer,0.26666666666666666,0.0,0.26666666666666666
23690,E4_goal_directed,0.2,0.03888888888888889,0.16111111111111112
23690,E5_recursive_strengthening,0.9948213933808988,0.12626224187879012,0.8685591515021087
23690,E6_clone_divergence,0.037778828871038665,0.0,0.037778828871038665
23690,E7_observation_x_thought,0.20657276995305165,0.03375527426160337,0.17281749569144828
23690,E8_dream_recombination,1.0,0.0,1.0
23690,E9_lora_validated_internalization,0.9800000190734863,0.8679999709129333,0.11200004816055298
23690,E10_validated_vs_unvalidated,0.9585714340209961,0.7442857027053833,0.2142857313156128
23690,E11_verified_sharpening,0.9862499833106995,0.9137499928474426,0.07249999046325684
23690,E12_anchor_preservation,0.9419999718666077,0.9240000247955322,0.01799994707107544
23743,E1_recall_competition,0.4030259358289741,0.057738477255735575,0.34528745857323856
23743,E2_associative_chain,0.6818181818181818,0.031818181818181815,0.6499999999999999
23743,E3_endogenous_transfer,0.3333333333333333,0.0,0.3333333333333333
